,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
23,-0.625,-0.72619,-0.348214,-0.83631,-1.377976,-0.416667,-0.416667,-1.633929,-0.886905,-0.8125,-0.994048,-0.345238,-0.8125,-1.279762,-1.610119,-0.178571,-0.229167,-2.372024,-0.988095,-1.050595
24,-0.302198,-0.978022,-0.791209,-0.879121,-1.736264,-0.527473,-0.417582,-1.21978,-1.098901,-0.978022,-1.038462,-0.752747,-0.697802,-1.428571,-1.741758,-0.379121,-0.247253,-2.247253,-1.076923,-0.78022
25,-0.331551,-0.524064,-0.347594,-0.780749,-2.151515,-0.040998,-0.361854,-1.326203,-0.754011,-0.97861,-0.848485,-0.080214,-0.645276,-1.566845,-1.454545,-0.231729,-0.352941,-2.483066,-1.28164,-0.967914
26,0.207317,-0.733449,-0.083624,-0.58885,-1.703833,-0.076655,-0.221254,-0.465157,-0.855401,-1.332753,-1.3223,-0.491289,-0.88676,-1.801394,-0.245645,0.506969,0.247387,-2.34669,-1.428571,-0.89547
27,-3.198182,-2.714545,-0.4,-2.581818,-2.312727,-1.84,-1.861818,-3.730909,-2.261818,-1.329091,-0.478182,-1.86,-2.489091,-2.176364,-3.763636,-0.956364,-1.767273,-4.110909,-2.849091,-2.667273
28,-0.159091,-0.45,-0.395455,-0.513636,-2.240909,-0.277273,-0.377273,-0.872727,-0.604545,-1.627273,-1.572727,-0.404545,-1.077273,-1.727273,-1.236364,0.140909,-0.286364,-2.590909,-1.245455,-1.168182
29,0.082192,-0.803653,-0.789954,-1.164384,-2.022831,0.050228,-0.52968,-1.03653,-1.388128,-1.136986,-0.972603,-0.456621,-0.666667,-1.817352,-1.260274,0.068493,-0.09589,-2.694064,-1.835616,-0.86758
30,-1.557692,-1.42735,-1.391026,-1.807692,-2.401709,-1.032051,-1.337607,-2.491453,-1.358974,-1.720085,-1.784188,-1.311966,-1.487179,-2.412393,-2.205128,-1.136752,-1.053419,-3.549145,-1.92735,-1.448718
31,-0.2,-0.416667,-0.325,-0.854167,-1.916667,-0.204167,-0.279167,-1.3625,-1.029167,-0.9625,-1.0375,0.070833,-0.816667,-1.295833,-1.208333,-0.0875,-0.291667,-2.595833,-1.2125,-0.975
32,0.014691,-0.108227,-1.096474,-0.625367,-2.367777,0.015671,-0.695397,-1.265916,0.042116,-1.220862,-0.51714,-1.240451,-0.691479,-1.142997,-0.746327,-0.62047,-0.46523,-1.054358,-1.045054,-0.834966
33,-0.178771,-0.568436,-0.973464,-0.871508,-2.236034,-0.608939,-0.627095,-1.160615,-0.833799,-1.205307,-1.160615,-0.629888,-1.032123,-1.624302,-1.068436,-0.544693,-0.52514,-2.146648,-1.403631,-0.836592
34,0.258206,-0.675055,-0.867615,-1.020788,-1.948578,-0.311816,-0.586433,-0.931072,-1.035011,-1.137856,-0.707877,-0.669584,-0.54814,-1.50547,-1.021882,-0.082057,-0.180525,-2.208972,-1.391685,-0.714442
35,-0.010227,-0.977273,0.002273,-0.454545,-1.870455,-0.242045,-0.407955,-0.164773,-1.202273,-1.331818,-1.538636,-0.644318,-1.125,-2.080682,-0.445455,0.792045,1.117045,-2.546591,-1.720455,-0.873864
36,0.227723,-1.267327,-2.467822,-1.851485,-2.143564,-1.668317,-1.764851,-1.584158,-1.561881,-1.497525,-1.326733,-2.289604,-1.608911,-2.460396,-2.294554,-1.118812,-1.163366,-3.155941,-2.626238,-0.950495
37,-0.17418,-0.819672,-0.711066,-0.844262,-2.528689,0.114754,0.270492,-1.286885,-1.108607,-2.059426,-2.026639,-0.362705,-1.606557,-2.672131,1.635246,0.461066,0.657787,-3.20082,-2.07582,-1.288934
38,-0.160243,-0.661258,-0.539554,-0.916836,-1.878296,-0.330629,-0.537525,-1.235294,-0.84787,-1.450304,-1.3286,-0.434077,-0.896552,-1.687627,-1.407708,-0.066937,-0.320487,-2.393509,-1.188641,-1.178499
